time_yrs,qwS-I1,qwS-I2,qwS-M1,qwS-M2,qwS-M3,qwS-P1,qwS-P2,qwS-P3,qgS-I1,qgS-I2,qgS-M1,qgS-M2,qgS-M3,qgS-P1,qgS-P2,qgS-P3,BHP-I1,BHP-I2,BHP-M1,BHP-M2,BHP-M3,BHP-P1,BHP-P2,BHP-P3
1,0,0,0,0,0,-0.0704586811023805,-0.171037164178802,-0.166036068776219,0.46158065673016,0.507738722403177,0,0,0,0,0,0,104923543.691267,87869946.0597249,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
2,0,0,0,0,0,-0.105585966295582,-0.210408835206627,-0.176496392569701,0.46158065673016,0.507738722403177,0,0,0,0,0,0,86170331.3176666,79519164.545109,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
3,0,0,0,0,0,-0.129811915299233,-0.236704107893233,-0.189285457818297,0.46158065673016,0.507738722403177,0,0,0,0,0,0,76280448.1490397,71548148.2603016,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
4,0,0,0,0,0,-0.146048064822747,-0.253199822466079,-0.198735481231085,0.46158065673016,0.507738722403177,0,0,0,0,0,0,71421152.9991472,67218954.4073054,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
5,0,0,0,0,0,-0.157129665903718,-0.264932965179228,-0.206379978980095,0.46158065673016,0.507738722403177,0,0,0,0,0,0,68575457.6776569,64684739.3899561,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
6,0,0,0,0,0,-0.16491757757175,-0.273868976684614,-0.21217138209063,0.46158065673016,0.507738722403177,0,0,0,0,0,0,66674307.5792659,63018274.3434142,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
7,0,0,0,0,0,-0.170466596832186,-0.280491098451594,-0.216170198930174,0.46158065673016,0.507738722403177,0,0,0,0,0,0,65299194.7742998,61824144.7650789,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
8,0,0,0,0,0,-0.17443047351581,-0.285324719914457,-0.219591862973175,0.46158065673016,0.507738722403177,0,0,0,0,0,0,64249651.4322217,60916948.9772513,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
9,0,0,0,0,0,-0.177279407698359,-0.289060759354141,-0.223595663593702,0.46158065673016,0.507738722403177,0,0,0,0,0,0,63408363.8295835,60193483.2425221,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
10,0,0,0,0,0,-0.179373001711829,-0.292177914185961,-0.227932380607466,0.46158065673016,0.507738722403177,0,0,0,0,0,0,62704738.7963256,59592629.4336013,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
11,0,0,0,0,0,-0.180985361508985,-0.294824583030244,-0.231750371012032,0.46158065673016,0.507738722403177,0,0,0,0,0,0,62098802.6462356,59078962.9604287,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
12,0,0,0,0,0,-0.182312951699283,-0.296997358999718,-0.234670227133932,0.46158065673016,0.507738722403177,0,0,0,0,0,0,61567687.4933267,58632442.0976476,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
13,0,0,0,0,0,-0.183478192802537,-0.298718122862505,-0.236951273386643,0.46158065673016,0.507738722403177,0,0,0,0,0,0,61096092.2613087,58240601.748131,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
14,0,0,0,0,0,-0.184542726436453,-0.300109084094385,-0.239202365709026,0.46158065673016,0.507738722403177,0,0,0,0,0,0,60672027.6165463,57893919.4112193,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
15,0,0,0,0,0,-0.185530306518001,-0.301385613374757,-0.241891689124568,0.46158065673016,0.507738722403177,0,0,0,0,0,0,60285494.6124471,57583678.9802129,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
16,0,0,0,0,0,-0.186444909453981,-0.302740463455162,-0.244951759807431,0.46158065673016,0.507738722403177,0,0,0,0,0,0,59929001.628158,57301732.4439228,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
17,0,0,0,0,0,-0.187277675213529,-0.304195882880325,-0.247963713246314,0.46158065673016,0.507738722403177,0,0,0,0,0,0,59597737.5467159,57041454.2092521,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
18,0,0,0,0,0,-0.188012226953739,-0.305604447480162,-0.250604287400323,0.46158065673016,0.507738722403177,0,0,0,0,0,0,59288605.0434693,56798498.888856,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
19,0,0,0,0,0,-0.188635623547566,-0.306792714863577,-0.252849346138848,0.46158065673016,0.507738722403177,0,0,0,0,0,0,58999584.3913425,56570615.3875908,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
20,0,0,0,0,0,-0.189149061322391,-0.307695404379606,-0.254960736390831,0.46158065673016,0.507738722403177,0,0,0,0,0,0,58728990.8491718,56356742.7463637,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
21,0,0,0,0,0,-0.189571416424459,-0.308398548635889,-0.257301416437807,0.46158065673016,0.507738722403177,0,0,0,0,0,0,58474921.759077,56156021.5136847,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
