time_yrs,qwS-I1,qwS-I2,qwS-M1,qwS-M2,qwS-M3,qwS-P1,qwS-P2,qwS-P3,qgS-I1,qgS-I2,qgS-M1,qgS-M2,qgS-M3,qgS-P1,qgS-P2,qgS-P3,BHP-I1,BHP-I2,BHP-M1,BHP-M2,BHP-M3,BHP-P1,BHP-P2,BHP-P3
1,0,0,0,0,0,-0.0402809664001177,-0.142704627251529,-0.158174070436292,0.46158065673016,0.507738722403177,0,0,0,0,0,0,84744428.8274517,74469131.5448942,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
2,0,0,0,0,0,-0.0652508495398368,-0.182386420554596,-0.169785349261329,0.46158065673016,0.507738722403177,0,0,0,0,0,0,75581305.0878433,68575226.7292269,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
3,0,0,0,0,0,-0.0850554557309505,-0.21106966169347,-0.187230093511146,0.46158065673016,0.507738722403177,0,0,0,0,0,-4.0305467960972e-55,71912071.8403026,66305433.592593,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
4,0,0,0,0,0,-0.100000658207958,-0.230875058332846,-0.202254715204746,0.46158065673016,0.507738722403177,0,0,0,0,0,-1.99004631315014e-39,69991409.705704,65216413.359807,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
5,0,0,0,0,0,-0.111036342730346,-0.245045186611244,-0.215220452281369,0.46158065673016,0.507738722403177,0,0,0,0,0,-2.63208209427038e-29,68787711.6870591,64576276.5908931,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
6,0,0,0,0,0,-0.119166327697604,-0.255616801767971,-0.226855892928117,0.46158065673016,0.507738722403177,0,0,0,0,-3.06668787240432e-74,-1.64095048223165e-23,67929943.5229401,64129741.9480716,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
7,0,0,0,0,0,-0.125204331995584,-0.263794621832236,-0.237558048658247,0.46158065673016,0.507738722403177,0,0,0,0,-6.030858155232e-58,-1.56132794433833e-17,67259191.6300477,63774553.7037727,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
8,0,0,0,0,0,-0.129752351031851,-0.270318096689925,-0.24726023407298,0.46158065673016,0.507738722403177,0,0,0,0,-4.58103624855043e-45,-2.93423682220117e-13,66700216.3140783,63467108.1433782,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
9,0,0,0,0,0,-0.133241135454388,-0.275654486544461,-0.255237346456466,0.46158065673016,0.507738722403177,0,0,0,0,-2.83079538139995e-35,-3.25128952651271e-10,66218471.8494219,63187678.3913,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
10,0,0,0,0,0,-0.135979154702822,-0.280099847915724,-0.259855457305944,0.46158065673016,0.507738722403177,0,0,0,0,-9.33125300464708e-28,-5.17965678171373e-08,65801014.9937458,62928556.7014396,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
11,0,0,0,0,0,-0.138193845601865,-0.283822250162241,-0.258836792269074,0.46158065673016,0.507738722403177,0,0,0,0,-5.90406317769358e-22,-2.21398377920038e-06,65448570.9884862,62688847.3587987,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
12,0,0,0,0,0,-0.140061510141785,-0.286865532974702,-0.250369057351861,0.46158065673016,0.507738722403177,0,0,0,0,-1.78159360622569e-17,-3.76195136531045e-05,65169469.9537615,62472024.0092028,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
13,0,0,0,0,0,-0.141726130982365,-0.289119935163506,-0.234410833745416,0.46158065673016,0.507738722403177,0,0,0,0,-5.15454225560368e-14,-0.000324401177359107,64973391.437763,62284444.4123232,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
14,0,0,0,0,0,-0.143308348308856,-0.290254290725405,-0.213043397271175,0.46158065673016,0.507738722403177,0,0,0,0,-2.49535919873765e-11,-0.00166528629316443,64865177.0911614,62134037.430305,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
