time_yrs,qwS-I1,qwS-I2,qwS-M1,qwS-M2,qwS-M3,qwS-P1,qwS-P2,qwS-P3,qgS-I1,qgS-I2,qgS-M1,qgS-M2,qgS-M3,qgS-P1,qgS-P2,qgS-P3,BHP-I1,BHP-I2,BHP-M1,BHP-M2,BHP-M3,BHP-P1,BHP-P2,BHP-P3
1,0,0,0,0,0,-0.123826242056195,-0.233759244929903,-0.112086567281447,0.46158065673016,0.507738722403177,0,0,0,0,0,0,82040112.4192903,67679091.1947272,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
2,0,0,0,0,0,-0.171564456893131,-0.275865336199595,-0.130673524043333,0.46158065673016,0.507738722403177,0,0,0,0,0,0,78475430.5404264,67401103.854146,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
3,0,0,0,0,0,-0.198511373000181,-0.301024011546787,-0.142011791069886,0.46158065673016,0.507738722403177,0,0,0,0,0,0,75428779.2100805,65698714.5610709,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
4,0,0,0,0,0,-0.214360544734721,-0.316469814719804,-0.148967293017776,0.46158065673016,0.507738722403177,0,0,0,0,0,0,73500967.5568185,64406671.9153918,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
5,0,0,0,0,0,-0.224120223984143,-0.32644778275613,-0.153378369463884,0.46158065673016,0.507738722403177,0,0,0,0,0,0,72195523.1958593,63468596.0661754,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
6,0,0,0,0,0,-0.230440282403158,-0.3332054747169,-0.156297142575559,0.46158065673016,0.507738722403177,0,0,0,0,0,0,71243600.5085183,62760585.9205673,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
7,0,0,0,0,0,-0.234731449926576,-0.337965097034207,-0.158322631643618,0.46158065673016,0.507738722403177,0,0,0,0,0,-6.50359420773391e-50,70509288.7277784,62205967.8898437,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
8,0,0,0,0,0,-0.237762846179535,-0.341429053667996,-0.159794238860605,0.46158065673016,0.507738722403177,0,0,0,0,0,-8.87751723837248e-45,69919301.5483362,61759167.2834655,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
9,0,0,0,0,0,-0.239978093654456,-0.344035977966004,-0.160906753605622,0.46158065673016,0.507738722403177,0,0,0,0,0,-2.63511552726424e-40,69431368.0599049,61391604.7261545,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
10,0,0,0,0,0,-0.241653095732362,-0.346064236120183,-0.16177910433782,0.46158065673016,0.507738722403177,0,0,0,0,0,-1.92658969410846e-36,69019282.0342862,61084256.552927,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
11,0,0,0,0,0,-0.242969371296958,-0.347686065337126,-0.16248926801936,0.46158065673016,0.507738722403177,0,0,0,0,-1.24793736220857e-58,-4.56576304952577e-33,68665590.4672865,60823901.2880439,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
12,0,0,0,0,0,-0.244048576108378,-0.349014312140497,-0.163088470140202,0.46158065673016,0.507738722403177,0,0,0,0,-2.40375222502351e-52,-4.30215453655459e-30,68357958.2437985,60601031.7238802,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
13,0,0,0,0,0,-0.244971174838064,-0.350126785435544,-0.163608397932663,0.46158065673016,0.507738722403177,0,0,0,0,-3.02724258282945e-46,-1.88608452082927e-27,68087359.3563252,60408568.1601859,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
14,0,0,0,0,0,-0.245789852119221,-0.351076091899584,-0.164067578032273,0.46158065673016,0.507738722403177,0,0,0,0,-6.1126783645483e-41,-4.34994219228862e-25,67846981.6342264,60241161.4392858,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
15,0,0,0,0,0,-0.246539757600388,-0.351892220160505,-0.164477707784416,0.46158065673016,0.507738722403177,0,0,0,0,-2.77683877488131e-36,-5.81597522074053e-23,67631615.3808942,60094592.0664151,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
16,0,0,0,0,0,-0.247246208632071,-0.352591328527668,-0.164847893570638,0.46158065673016,0.507738722403177,0,0,0,0,-3.55251988660642e-32,-4.87195590278747e-21,67437231.4559339,59965511.1247282,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
17,0,0,0,0,0,-0.247929399816879,-0.353182482122907,-0.16518564946506,0.46158065673016,0.507738722403177,0,0,0,0,-1.5347533172993e-28,-2.7228534382744e-19,67260679.5921386,59851230.4462487,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
18,0,0,0,0,0,-0.248606330860994,-0.353666587883023,-0.165496749048313,0.46158065673016,0.507738722403177,0,0,0,0,-2.59869494477493e-25,-1.06817988597292e-17,67099525.0642525,59749483.3605198,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
19,0,0,0,0,0,-0.24929023884991,-0.354034938705938,-0.165785321521373,0.46158065673016,0.507738722403177,0,0,0,0,-1.94896789642712e-22,-3.06442932037416e-16,66951702.5633541,59658678.7607605,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
20,0,0,0,0,0,-0.249990954957331,-0.354268134140481,-0.166051147684756,0.46158065673016,0.507738722403177,0,0,0,0,-7.15274342390984e-20,-6.65346149825408e-15,66815547.1469535,59577510.0589588,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
21,0,0,0,0,0,-0.250715271301147,-0.354335279384696,-0.166289645148198,0.46158065673016,0.507738722403177,0,0,0,0,-1.39356740173225e-17,-1.12598089910349e-13,66689724.2759747,59504955.4408646,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
22,0,0,0,0,0,-0.251467854808154,-0.354187944713897,-0.166490831515321,0.46158065673016,0.507738722403177,0,0,0,0,-1.54255858076643e-15,-1.52360982317187e-12,66573181.3066804,59440268.4122046,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
23,0,0,0,0,0,-0.252252821150013,-0.353747382550654,-0.16663767632974,0.46158065673016,0.507738722403177,0,0,0,0,-1.02800460605121e-13,-1.68529240719683e-11,66465125.2985321,59382980.1185083,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
