time_yrs,qwS-I1,qwS-I2,qwS-M1,qwS-M2,qwS-M3,qwS-P1,qwS-P2,qwS-P3,qgS-I1,qgS-I2,qgS-M1,qgS-M2,qgS-M3,qgS-P1,qgS-P2,qgS-P3,BHP-I1,BHP-I2,BHP-M1,BHP-M2,BHP-M3,BHP-P1,BHP-P2,BHP-P3
1,0,0,0,0,0,-0.039962965997379,-0.233819232958166,-0.237648263742835,0.46158065673016,0.507738722403177,0,0,0,0,0,0,73331420.1424977,64286818.5366729,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
2,0,0,0,0,0,-0.0596707271137564,-0.281716389367441,-0.244683145865355,0.46158065673016,0.507738722403177,0,0,0,0,0,0,60495993.8962965,57781987.9419024,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
3,0,0,0,0,0,-0.0720973518955868,-0.311780974166254,-0.259881801527202,0.46158065673016,0.507738722403177,0,0,0,0,0,0,55279805.0634188,53536178.6307499,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
4,0,0,0,0,0,-0.0799849994862062,-0.331154324259167,-0.273942157796915,0.46158065673016,0.507738722403177,0,0,0,0,0,0,52927250.1728602,51516811.8842257,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
5,0,0,0,0,0,-0.0851311345858294,-0.344992887258299,-0.285169520039352,0.46158065673016,0.507738722403177,0,0,0,0,0,0,51586582.2665229,50375935.9001391,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
6,0,0,0,0,0,-0.0885644747634432,-0.354804418178582,-0.293822593245371,0.46158065673016,0.507738722403177,0,0,0,0,0,0,50697208.8600101,49623958.6245473,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
7,0,0,0,0,0,-0.0908632026258624,-0.361548736535593,-0.302940706438623,0.46158065673016,0.507738722403177,0,0,0,0,0,0,50029904.4764467,49073770.9045913,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
8,0,0,0,0,0,-0.0923867014514804,-0.366371387844189,-0.312124852398378,0.46158065673016,0.507738722403177,0,0,0,0,0,0,49481523.0511113,48633959.690913,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
9,0,0,0,0,0,-0.0933813815897551,-0.370073585656064,-0.319464119708291,0.46158065673016,0.507738722403177,0,0,0,0,0,0,49015700.7369206,48258249.5411801,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
10,0,0,0,0,0,-0.0940146932447129,-0.372907381505712,-0.325263311577622,0.46158065673016,0.507738722403177,0,0,0,0,0,0,48615473.7562473,47926735.5440854,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
11,0,0,0,0,0,-0.0943966633127423,-0.374920221946222,-0.331348974491129,0.46158065673016,0.507738722403177,0,0,0,0,0,0,48262489.5662759,47630224.8430301,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
12,0,0,0,0,0,-0.0946025321393807,-0.376244147843289,-0.338292303294008,0.46158065673016,0.507738722403177,0,0,0,0,0,0,47939911.2879255,47361790.0623646,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
13,0,0,0,0,0,-0.0946922436814245,-0.377187686441856,-0.344940575455523,0.46158065673016,0.507738722403177,0,0,0,0,0,0,47638678.6333762,47114931.0696238,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
