time_yrs,qwS-I1,qwS-I2,qwS-M1,qwS-M2,qwS-M3,qwS-P1,qwS-P2,qwS-P3,qgS-I1,qgS-I2,qgS-M1,qgS-M2,qgS-M3,qgS-P1,qgS-P2,qgS-P3,BHP-I1,BHP-I2,BHP-M1,BHP-M2,BHP-M3,BHP-P1,BHP-P2,BHP-P3
1,0,0,0,0,0,-0.0262067881820765,-0.0878901191004834,-0.115928316376806,0.46158065673016,0.507738722403177,0,0,0,0,0,0,97458747.5398953,85227777.4541652,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
2,0,0,0,0,0,-0.0443965668584475,-0.118092850249768,-0.127229996185394,0.46158065673016,0.507738722403177,0,0,0,0,0,-6.3112675296937e-22,88618082.3849385,79377152.5217955,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
3,0,0,0,0,0,-0.0616721176993474,-0.143188425075126,-0.146849707483215,0.46158065673016,0.507738722403177,0,0,0,0,-2.7778013205984e-30,-1.39045121676522e-16,85088194.310758,77415232.0302853,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
4,0,0,0,0,0,-0.0767383074566812,-0.1619656791223,-0.164705308934506,0.46158065673016,0.507738722403177,0,0,0,0,-1.67204031957944e-24,-6.63086952796608e-13,83200551.7779611,76582845.5828325,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
5,0,0,0,0,0,-0.0892509705939739,-0.176193646084108,-0.18022565790782,0.46158065673016,0.507738722403177,0,0,0,0,-3.15374724198857e-20,-3.41227061404163e-10,82010044.2324968,76161164.9478178,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
6,0,0,0,0,0,-0.0994103197095825,-0.187355754355722,-0.192822626601575,0.46158065673016,0.507738722403177,0,0,0,0,-6.69908530817721e-17,-3.991668462538e-08,81174321.7806358,75905458.0305602,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
7,0,0,0,0,0,-0.1076006540336,-0.196389662823397,-0.200731926232321,0.46158065673016,0.507738722403177,0,0,0,-3.09782353811746e-85,-2.95325234574082e-14,-1.62401710420467e-06,80549664.6450347,75721138.1901478,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
8,0,0,0,0,0,-0.114227121848329,-0.203777986504982,-0.201494915528929,0.46158065673016,0.507738722403177,0,0,0,-6.62459613632168e-75,-4.34940434708741e-12,-2.96854681357334e-05,80074862.150073,75572288.5013614,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
9,0,0,0,0,0,-0.119656772635199,-0.209634495029777,-0.193610669823385,0.46158065673016,0.507738722403177,0,0,0,-5.26591740837528e-68,-2.57509974937913e-10,-0.000284968494891203,79728120.772951,75448398.6168892,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
10,0,0,0,0,0,-0.124201321489617,-0.21378048833701,-0.178378259783071,0.46158065673016,0.507738722403177,0,0,0,-6.45731030678902e-62,-7.60308285013165e-09,-0.00159843533914722,79499993.9976776,75350941.5828211,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
11,0,0,0,0,0,-0.128114438006728,-0.215848456014423,-0.15975016886832,0.46158065673016,0.507738722403177,0,0,0,-1.80663339276694e-56,-1.28539204607107e-07,-0.00571976671042049,79377981.043446,75285840.9759087,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
12,0,0,0,0,0,-0.131593207676461,-0.215425742328729,-0.142004989233081,0.46158065673016,0.507738722403177,0,0,0,-1.4794936046525e-51,-1.38008489769103e-06,-0.0142059921301793,79340385.1600277,75259025.4079416,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
13,0,0,0,0,0,-0.134782327109087,-0.212215703033148,-0.127644628134508,0.46158065673016,0.507738722403177,0,0,0,-4.24743134947504e-47,-1.01858918764669e-05,-0.0266619938295823,79359644.0046862,75274239.1945702,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
14,0,0,0,0,0,-0.137781636280304,-0.206170921472897,-0.117135923844041,0.46158065673016,0.507738722403177,0,0,0,-3.37552601370147e-43,-5.49193344457179e-05,-0.0409376469211596,79409900.2545136,75332591.9073593,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
15,0,0,0,0,0,-0.140655911237566,-0.197547842888616,-0.109807350209585,0.46158065673016,0.507738722403177,0,0,0,-1.94222392074141e-39,-0.000227692914817096,-0.0549499003827635,79472394.0568922,75432932.8933538,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
16,0,0,0,0,0,-0.143444875494511,-0.186882094527699,-0.104720679192557,0.46158065673016,0.507738722403177,0,0,0,-5.24999113804981e-36,-0.000753990629830782,-0.067618321410054,79536563.2188629,75572271.6417429,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
17,0,0,0,0,0,-0.146171441211904,-0.174896852799682,-0.10106880163136,0.46158065673016,0.507738722403177,0,0,0,-7.18440361441319e-33,-0.00205679774098916,-0.0787964643623022,79598338.5200534,75745844.5455687,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
18,0,0,0,0,0,-0.14884632674795,-0.162395808891097,-0.0982876444227289,0.46158065673016,0.507738722403177,0,0,0,-5.30618969345031e-30,-0.00473657198602118,-0.088744021562191,79657072.3700656,75947119.1977763,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
19,0,0,0,0,0,-0.151471471511306,-0.150154323877332,-0.0960233176147237,0.46158065673016,0.507738722403177,0,0,0,-2.23520000166321e-27,-0.00939594325826926,-0.0977950917153488,79713540.5548671,76167775.6939213,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
20,0,0,0,0,0,-0.154042138836176,-0.138819572948789,-0.0940683904320761,0.46158065673016,0.507738722403177,0,0,0,-5.63728831122866e-25,-0.0163485508881333,-0.106225682581151,79768366.6366563,76398190.46523,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
21,0,0,0,0,0,-0.15654851868906,-0.128833151222434,-0.0923057918862308,0.46158065673016,0.507738722403177,0,0,0,-8.88935650921612e-23,-0.0253985185240841,-0.11422928109277,79820950.0587997,76628744.47232,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
22,0,0,0,0,0,-0.158977656989041,-0.120399047176984,-0.090670408476532,0.46158065673016,0.507738722403177,0,0,0,-9.11463996947406e-21,-0.0358757651176158,-0.121930659799915,79870553.4455079,76850331.1479339,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
23,0,0,0,0,0,-0.161314820158041,-0.113508146522367,-0.089125511661149,0.46158065673016,0.507738722403177,0,0,0,-6.29809735384484e-19,-0.0469097280961584,-0.129406068839488,79915864.49448,77055702.4190415,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
24,0,0,0,0,0,-0.163543870606907,-0.108002625133268,-0.0876493868440989,0.46158065673016,0.507738722403177,0,0,0,-3.0305086247617e-17,-0.0577396015953897,-0.136699729764283,79955308.6842879,77240062.6348152,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
25,0,0,0,0,0,-0.165646496142938,-0.103649736821572,-0.0862282662203551,0.46158065673016,0.507738722403177,0,0,0,-1.0464803360966e-15,-0.0678850345993734,-0.143835325094679,79987376.7737404,77401009.3693504,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
26,0,0,0,0,0,-0.167600038538752,-0.100201779571317,-0.0848524234622482,0.46158065673016,0.507738722403177,0,0,0,-2.66594870137577e-14,-0.0771519199188965,-0.150822905921203,80010161.6498201,77538293.5007926,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
27,0,0,0,0,0,-0.169375542603599,-0.0974332572760778,-0.083515182525587,0.46158065673016,0.507738722403177,0,0,0,-5.13889180590416e-13,-0.0855475492926559,-0.157664957487389,80023621.2815188,77652607.4868913,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
28,0,0,0,0,0,-0.170935381404673,-0.0951579413553424,-0.0822120956443825,0.46158065673016,0.507738722403177,0,0,0,-7.6708051660206e-12,-0.0931828257512267,-0.164360443876064,80027916.2176624,77745307.0429938,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
29,0,0,0,0,0,-0.172231106430493,-0.0932323782683536,-0.08094010313665,0.46158065673016,0.507738722403177,0,0,0,-9.05629792637479e-11,-0.100200417521028,-0.170906875890354,80023109.9659647,77818367.7783996,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
30,0,0,0,0,0,-0.173202333492602,-0.0915516986587149,-0.0796971221616939,0.46158065673016,0.507738722403177,0,0,0,-8.62135028994222e-10,-0.106734872873184,-0.177301638396633,80009654.3506199,77873800.5249959,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
31,0,0,0,0,0,-0.173777246247693,-0.0900423717557178,-0.0784817935218241,0.46158065673016,0.507738722403177,0,0,0,-6.7351318896003e-09,-0.112896472723218,-0.183542780795444,79988188.9516751,77913653.135772,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
32,0,0,0,0,0,-0.173875111009625,-0.0886545956290479,-0.0772933055551492,0.46158065673016,0.507738722403177,0,0,0,-4.38742981335754e-08,-0.118768688561199,-0.189629581093346,79959517.8155717,77939919.1775509,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
33,0,0,0,0,0,-0.17341104169052,-0.0873556262791221,-0.0761312573107195,0.46158065673016,0.507738722403177,0,0,0,-2.41817442387449e-07,-0.124411793256249,-0.19556287644025,79924588.3305261,77954498.835628,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
34,0,0,0,0,0,-0.172302969002076,-0.0861245005661411,-0.0749955388479525,0.46158065673016,0.507738722403177,0,0,0,-1.14267548205615e-06,-0.129868310807934,-0.201345149925597,79884423.6178734,77959206.1522313,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
35,0,0,0,0,0,-0.170480350495108,-0.0849481289770891,-0.0738862390683189,0.46158065673016,0.507738722403177,0,0,0,-4.68515046925078e-06,-0.135168237140124,-0.206980509855498,79840098.3089084,77955774.2649158,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
36,0,0,0,0,0,-0.167893695590313,-0.0838185682833387,-0.0728035148749738,0.46158065673016,0.507738722403177,0,0,0,-1.68489746021659e-05,-0.140333296814661,-0.212474403031968,79792524.8229142,77945940.5240091,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
37,0,0,0,0,0,-0.164523846867223,-0.082731092887713,-0.0717475999076193,0.46158065673016,0.507738722403177,0,0,0,-5.36543963403848e-05,-0.145380033701256,-0.217833624468616,79742858.3378851,77931269.2520863,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
38,0,0,0,0,0,-0.160390208125854,-0.0816828923268267,-0.0707187838513749,0.46158065673016,0.507738722403177,0,0,0,-0.000152518105392831,-0.150321873519674,-0.223066270786442,79692230.2423137,77913195.9268017,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
