time_yrs,qwS-I1,qwS-I2,qwS-M1,qwS-M2,qwS-M3,qwS-P1,qwS-P2,qwS-P3,qgS-I1,qgS-I2,qgS-M1,qgS-M2,qgS-M3,qgS-P1,qgS-P2,qgS-P3,BHP-I1,BHP-I2,BHP-M1,BHP-M2,BHP-M3,BHP-P1,BHP-P2,BHP-P3
1,0,0,0,0,0,-0.0821429553839203,-0.0636887724176971,-0.191388227374998,0.46158065673016,0.507738722403177,0,0,0,0,0,0,119084357.600177,92075014.9295815,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
2,0,0,0,0,0,-0.1269804675267,-0.0846063415231139,-0.201118066393497,0.46158065673016,0.507738722403177,0,0,0,0,0,0,95829595.5640069,92525716.4787505,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
3,0,0,0,0,0,-0.160141963034333,-0.0996101618643996,-0.217634272340635,0.46158065673016,0.507738722403177,0,0,0,0,0,0,79858291.9419808,79815033.8165896,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
4,0,0,0,0,0,-0.183205925306841,-0.109416447864706,-0.227438279128504,0.46158065673016,0.507738722403177,0,0,0,0,0,0,73068273.7065712,72871315.1177202,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
5,0,0,0,0,0,-0.198855380451509,-0.115671089285264,-0.235340236745459,0.46158065673016,0.507738722403177,0,0,0,0,0,0,69661793.4883325,69364666.8169091,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
6,0,0,0,0,0,-0.209665778918319,-0.119880745557658,-0.245167091595349,0.46158065673016,0.507738722403177,0,0,0,0,0,0,67580515.6598615,67423308.5967274,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
7,0,0,0,0,0,-0.217551779371241,-0.123165516018626,-0.253856767228348,0.46158065673016,0.507738722403177,0,0,0,0,0,0,66112164.4729502,66209340.5859663,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
8,0,0,0,0,0,-0.223701169083218,-0.126062077141899,-0.258739672615032,0.46158065673016,0.507738722403177,0,0,0,0,0,0,65014538.9512076,65347145.86221,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
9,0,0,0,0,0,-0.228703542397355,-0.12860295100813,-0.260973075344486,0.46158065673016,0.507738722403177,0,0,0,0,0,0,64181243.3668867,64676614.2852064,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
10,0,0,0,0,0,-0.232797733725034,-0.130696073235989,-0.265221953452786,0.46158065673016,0.507738722403177,0,0,0,0,0,0,63527183.5563393,64129316.2198335,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
11,0,0,0,0,0,-0.236069394716052,-0.13231066929249,-0.272569582686079,0.46158065673016,0.507738722403177,0,0,0,0,0,0,62977983.271061,63667795.6427339,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
12,0,0,0,0,0,-0.23856246362043,-0.133486194740405,-0.27998835172158,0.46158065673016,0.507738722403177,0,0,0,0,0,0,62492650.8017903,63268061.2155161,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
