time_yrs,qwS-I1,qwS-I2,qwS-M1,qwS-M2,qwS-M3,qwS-P1,qwS-P2,qwS-P3,qgS-I1,qgS-I2,qgS-M1,qgS-M2,qgS-M3,qgS-P1,qgS-P2,qgS-P3,BHP-I1,BHP-I2,BHP-M1,BHP-M2,BHP-M3,BHP-P1,BHP-P2,BHP-P3
1,0,0,0,0,0,-0.0401898707197315,-0.136602528815783,-0.183228427705505,0.46158065673016,0.507738722403177,0,0,0,0,0,0,62983880.4508128,56864679.4315547,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
2,0,0,0,0,0,-0.0639966087831519,-0.176368158146887,-0.206868003329664,0.46158065673016,0.507738722403177,0,0,0,0,0,0,58838204.0630946,55118432.2298535,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
3,0,0,0,0,0,-0.0809503528430417,-0.202503426046345,-0.230140109551256,0.46158065673016,0.507738722403177,0,0,0,0,-8.10518097930538e-86,-6.50455006620662e-30,57592561.9023314,54963477.6584214,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
4,0,0,0,0,0,-0.0928049056626085,-0.220256482590915,-0.24990452027289,0.46158065673016,0.507738722403177,0,0,0,0,-3.31315143854531e-65,-2.60967716616697e-21,57134685.7490107,55137927.2388212,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
5,0,0,0,0,0,-0.101110954349834,-0.232842276351559,-0.266394245537417,0.46158065673016,0.507738722403177,0,0,0,0,-4.75758131823045e-51,-1.25300052503744e-15,56928127.804,55340236.0943129,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
6,0,0,0,0,0,-0.107021391226578,-0.242095893411346,-0.278652573535875,0.46158065673016,0.507738722403177,0,0,0,0,-2.1496442105118e-43,-8.48364549384043e-12,56814275.3406762,55499883.0748488,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
7,0,0,0,0,0,-0.111341951315321,-0.249147375394472,-0.284133273755917,0.46158065673016,0.507738722403177,0,0,0,0,-1.85330078771904e-34,-6.60941851849375e-09,56757207.8068232,55613436.0353732,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
8,0,0,0,0,0,-0.114637778210636,-0.254751460228952,-0.280206366951669,0.46158065673016,0.507738722403177,0,0,0,0,-1.40459452916878e-27,-6.54467199921306e-07,56765588.8358074,55699892.4040542,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
9,0,0,0,0,0,-0.11731467903408,-0.259406504874588,-0.266264401390916,0.46158065673016,0.507738722403177,0,0,0,0,-2.72805968425156e-22,-1.77434293614739e-05,56859677.7840974,55782012.7082356,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
10,0,0,0,0,0,-0.119662277201319,-0.263370948581122,-0.244391849267996,0.46158065673016,0.507738722403177,0,0,0,0,-3.43368620471726e-18,-0.000200547243052257,57049566.7595837,55880978.000845,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
