time_yrs,qwS-I1,qwS-I2,qwS-M1,qwS-M2,qwS-M3,qwS-P1,qwS-P2,qwS-P3,qgS-I1,qgS-I2,qgS-M1,qgS-M2,qgS-M3,qgS-P1,qgS-P2,qgS-P3,BHP-I1,BHP-I2,BHP-M1,BHP-M2,BHP-M3,BHP-P1,BHP-P2,BHP-P3
1,0,0,0,0,0,-0.064694823741125,-0.135173874246795,-0.0845649135827593,0.46158065673016,0.507738722403177,0,0,0,0,0,0,150796495.149693,121024233.771903,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
2,0,0,0,0,0,-0.0988277247027252,-0.170478492138036,-0.10247404879737,0.46158065673016,0.507738722403177,0,0,0,0,0,0,128512349.33408,114197041.766402,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
3,0,0,0,0,0,-0.124369920250024,-0.19540814674135,-0.115924171855013,0.46158065673016,0.507738722403177,0,0,0,0,0,0,112483002.426377,101571690.000484,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
4,0,0,0,0,0,-0.142711725439115,-0.211721798797827,-0.125025903670581,0.46158065673016,0.507738722403177,0,0,0,0,0,0,103966565.77758,93962361.8552987,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
5,0,0,0,0,0,-0.155891880146994,-0.223644513636472,-0.131429009355238,0.46158065673016,0.507738722403177,0,0,0,0,0,0,98876703.4654555,89330075.441512,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
6,0,0,0,0,0,-0.165478632844229,-0.232941874152343,-0.136092935033776,0.46158065673016,0.507738722403177,0,0,0,0,0,0,95485493.2661644,86267042.6864334,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
7,0,0,0,0,0,-0.172473941203841,-0.239986786221022,-0.13938891429544,0.46158065673016,0.507738722403177,0,0,0,0,0,0,93051425.3604907,84090311.2603137,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
8,0,0,0,0,0,-0.177579502697991,-0.245198641574197,-0.141584475624863,0.46158065673016,0.507738722403177,0,0,0,0,0,0,91216543.1840287,82455963.5088105,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
9,0,0,0,0,0,-0.181360740129167,-0.249221866152621,-0.143045399672539,0.46158065673016,0.507738722403177,0,0,0,0,0,0,89782469.4221485,81174923.5470424,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
10,0,0,0,0,0,-0.184280675489203,-0.252546875825403,-0.144219091717793,0.46158065673016,0.507738722403177,0,0,0,0,0,0,88626390.677613,80134405.7571525,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
11,0,0,0,0,0,-0.186660938184344,-0.255366976824015,-0.145446502321473,0.46158065673016,0.507738722403177,0,0,0,0,0,0,87665022.7525445,79268734.4055168,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
12,0,0,0,0,0,-0.188680205900157,-0.25770052737156,-0.14678361012318,0.46158065673016,0.507738722403177,0,0,0,0,0,0,86842064.0867533,78538155.409963,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
13,0,0,0,0,0,-0.190409916004336,-0.259543120589622,-0.148073137541697,0.46158065673016,0.507738722403177,0,0,0,0,0,0,86121435.3385969,77915946.4180194,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
14,0,0,0,0,0,-0.191871231988313,-0.260970167444564,-0.149141727187034,0.46158065673016,0.507738722403177,0,0,0,0,0,0,85481040.8367133,77381919.2872532,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
15,0,0,0,0,0,-0.193084629370746,-0.262186859208757,-0.149916884727208,0.46158065673016,0.507738722403177,0,0,0,0,0,0,84907435.6466361,76919351.8548259,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
16,0,0,0,0,0,-0.19408955830875,-0.263439313694572,-0.150442287592819,0.46158065673016,0.507738722403177,0,0,0,0,0,0,84391771.692115,76513746.1892578,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
17,0,0,0,0,0,-0.194934639710676,-0.264826158987042,-0.150838354391686,0.46158065673016,0.507738722403177,0,0,0,0,0,0,83927231.1558385,76152891.5354666,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
18,0,0,0,0,0,-0.195661077485736,-0.266238602338758,-0.151237334668477,0.46158065673016,0.507738722403177,0,0,0,0,0,0,83507782.4887658,75827515.7867835,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
19,0,0,0,0,0,-0.196304036346587,-0.267478587781551,-0.151723960640985,0.46158065673016,0.507738722403177,0,0,0,0,0,0,83127158.4742547,75531688.4867326,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
20,0,0,0,0,0,-0.196894590253204,-0.268415195770074,-0.152316126233202,0.46158065673016,0.507738722403177,0,0,0,0,0,0,82779576.9710679,75261713.6011754,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
21,0,0,0,0,0,-0.197460264298218,-0.269074999841443,-0.152971897612408,0.46158065673016,0.507738722403177,0,0,0,0,0,0,82460047.0245418,75015119.4582801,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
22,0,0,0,0,0,-0.198023120315038,-0.269624511362209,-0.153631441624316,0.46158065673016,0.507738722403177,0,0,0,0,0,0,82164435.0335454,74789792.4491462,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
23,0,0,0,0,0,-0.198595930592803,-0.270247123598307,-0.154235346771238,0.46158065673016,0.507738722403177,0,0,0,0,0,0,81889367.8592897,74583529.3918965,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
24,0,0,0,0,0,-0.199178960995482,-0.271014196777592,-0.154750170867993,0.46158065673016,0.507738722403177,0,0,0,0,0,0,81632181.1938414,74393945.0024469,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
25,0,0,0,0,0,-0.199761601748023,-0.27186473922978,-0.155174428344863,0.46158065673016,0.507738722403177,0,0,0,0,0,0,81390849.2560503,74218959.2162895,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
