time_yrs,qwS-I1,qwS-I2,qwS-M1,qwS-M2,qwS-M3,qwS-P1,qwS-P2,qwS-P3,qgS-I1,qgS-I2,qgS-M1,qgS-M2,qgS-M3,qgS-P1,qgS-P2,qgS-P3,BHP-I1,BHP-I2,BHP-M1,BHP-M2,BHP-M3,BHP-P1,BHP-P2,BHP-P3
1,0,0,0,0,0,-0.108582731006447,-0.231755522851972,-0.181689898112082,0.46158065673016,0.507738722403177,0,0,0,0,0,0,53215254.9706273,48447586.074524,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
2,0,0,0,0,0,-0.153944393563698,-0.27710711146048,-0.202198640724191,0.46158065673016,0.507738722403177,0,0,0,0,0,0,50519224.4868009,47184071.4604018,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
3,0,0,0,0,0,-0.180152021540224,-0.304008398152082,-0.219002398768385,0.46158065673016,0.507738722403177,0,0,0,0,-6.40458089603145e-20,-1.05574914060051e-12,49448881.9389813,46739184.1430605,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
4,0,0,0,0,0,-0.195669267600842,-0.320562281948574,-0.231498034621446,0.46158065673016,0.507738722403177,0,0,0,0,-1.39324155327311e-15,-5.2179020742145e-10,48809625.7960979,46447999.9421492,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
5,0,0,0,0,0,-0.20528688749082,-0.331255386294243,-0.240779228514792,0.46158065673016,0.507738722403177,0,0,0,0,-1.39670044050397e-12,-4.6259362836006e-08,48328537.8087981,46189822.236502,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
6,0,0,0,0,0,-0.21164869949921,-0.337791759449934,-0.247348310005696,0.46158065673016,0.507738722403177,0,0,0,0,-3.26996867571357e-10,-1.40151645703635e-06,47931229.4019184,45949960.5662781,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
7,0,0,0,0,0,-0.216260538977203,-0.340213391813992,-0.251272383378481,0.46158065673016,0.507738722403177,0,0,0,0,-2.07380471175953e-08,-1.94283478554761e-05,47600666.7668603,45740737.2907032,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
8,0,0,0,0,0,-0.220055892069642,-0.33766681025246,-0.252463116823234,0.46158065673016,0.507738722403177,0,0,0,0,-5.29261970280261e-07,-0.000154457128102448,47338708.3667537,45582311.6914876,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
9,0,0,0,0,0,-0.223661317147979,-0.32916562695471,-0.25082401554994,0.46158065673016,0.507738722403177,0,0,0,-2.08795636821839e-64,-6.87560874898115e-06,-0.000809441050354242,47152507.9676515,45495283.3238645,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
10,0,0,0,0,0,-0.227497250801412,-0.314328409770275,-0.246324115105758,0.46158065673016,0.507738722403177,0,0,0,-9.78186571664243e-58,-5.3103819166004e-05,-0.00304436990600846,47046323.8093076,45494822.6661467,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
11,0,0,0,0,0,-0.231799126914654,-0.293864518572402,-0.23916718755806,0.46158065673016,0.507738722403177,0,0,0,-1.07104733821451e-51,-0.000271876016246981,-0.00864833271596577,47015865.6075878,45585311.9532657,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
12,0,0,0,0,0,-0.236620217346267,-0.269591735332269,-0.230040392570768,0.46158065673016,0.507738722403177,0,0,0,-1.29092232115979e-45,-0.00099926831411497,-0.019263398024376,47046425.4088335,45757489.5853183,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
13,0,0,0,0,0,-0.241852162252049,-0.243992822893208,-0.220126283789691,0.46158065673016,0.507738722403177,0,0,0,-7.1508615737849e-41,-0.00279079237682595,-0.0349066586798098,47116107.3701026,45990548.2717644,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
14,0,0,0,0,0,-0.247284344817092,-0.219493514801608,-0.210629258909939,0.46158065673016,0.507738722403177,0,0,0,-6.34067513203144e-37,-0.00621047507053527,-0.0537891090609377,47204175.7231383,46255992.0533268,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
15,0,0,0,0,0,-0.252671072575676,-0.197857082845388,-0.20229432794743,0.46158065673016,0.507738722403177,0,0,0,-6.1363414201613e-33,-0.0114775493552315,-0.0736254221919463,47293258.5297302,46526005.4247816,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
16,0,0,0,0,0,-0.257801738314048,-0.179914831871483,-0.195330589460379,0.46158065673016,0.507738722403177,0,0,0,-2.37999193058793e-29,-0.018255377534583,-0.092816501414026,47373128.9548838,46777094.5483035,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
