time_yrs,qwS-I1,qwS-I2,qwS-M1,qwS-M2,qwS-M3,qwS-P1,qwS-P2,qwS-P3,qgS-I1,qgS-I2,qgS-M1,qgS-M2,qgS-M3,qgS-P1,qgS-P2,qgS-P3,BHP-I1,BHP-I2,BHP-M1,BHP-M2,BHP-M3,BHP-P1,BHP-P2,BHP-P3
1,0,0,0,0,0,-0.0344511187417518,-0.0426092919575147,-0.112764687856748,0.46158065673016,0.507738722403177,0,0,0,0,0,0,141607159.756681,123140878.316219,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
2,0,0,0,0,0,-0.0558179823941979,-0.0601071491344656,-0.117630602024872,0.46158065673016,0.507738722403177,0,0,0,0,0,0,108060828.252188,101208048.146122,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
3,0,0,0,0,0,-0.076150125587146,-0.0745844296776426,-0.131216984761442,0.46158065673016,0.507738722403177,0,0,0,0,0,0,94444401.3815507,89605332.9742248,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
4,0,0,0,0,0,-0.0939878688358317,-0.0857945396751765,-0.14314161169339,0.46158065673016,0.507738722403177,0,0,0,0,0,0,88260956.836666,84410436.8130352,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
5,0,0,0,0,0,-0.109006288076602,-0.0945506254122222,-0.152917695505359,0.46158065673016,0.507738722403177,0,0,0,0,0,0,84872913.8331911,81817259.9957253,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
6,0,0,0,0,0,-0.121367980935895,-0.101443823636187,-0.160672267021495,0.46158065673016,0.507738722403177,0,0,0,0,0,0,82769666.1285016,80378283.1125546,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
7,0,0,0,0,0,-0.131398130033439,-0.106866886928431,-0.167698504838889,0.46158065673016,0.507738722403177,0,0,0,0,0,0,81350178.9719107,79508969.6517412,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
8,0,0,0,0,0,-0.139475891758418,-0.111146664609508,-0.175072078389088,0.46158065673016,0.507738722403177,0,0,0,0,0,0,80322150.18034,78942188.9846404,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
9,0,0,0,0,0,-0.14598630314282,-0.114572012545635,-0.182326080757209,0.46158065673016,0.507738722403177,0,0,0,0,0,0,79528671.0896287,78542351.5384033,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
10,0,0,0,0,0,-0.151286051062499,-0.117376503633988,-0.188697407913828,0.46158065673016,0.507738722403177,0,0,0,0,0,0,78886010.4833558,78236761.3287198,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
