time_yrs,qwS-I1,qwS-I2,qwS-M1,qwS-M2,qwS-M3,qwS-P1,qwS-P2,qwS-P3,qgS-I1,qgS-I2,qgS-M1,qgS-M2,qgS-M3,qgS-P1,qgS-P2,qgS-P3,BHP-I1,BHP-I2,BHP-M1,BHP-M2,BHP-M3,BHP-P1,BHP-P2,BHP-P3
1,0,0,0,0,0,-0.0192772714083984,-0.0754158992925766,-0.0862727129939195,0.46158065673016,0.507738722403177,0,0,0,0,0,0,142496416.304978,124767693.558077,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
2,0,0,0,0,0,-0.0310113868531077,-0.0963745444809974,-0.0889512652730412,0.46158065673016,0.507738722403177,0,0,0,0,0,0,118974489.604794,106477305.410086,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
3,0,0,0,0,0,-0.0433939402357377,-0.118386380127462,-0.101193350234206,0.46158065673016,0.507738722403177,0,0,0,0,0,0,109400134.154273,98710066.1589927,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
4,0,0,0,0,0,-0.0552457196471058,-0.136158455342295,-0.112533375738319,0.46158065673016,0.507738722403177,0,0,0,0,0,0,104427332.100999,94814238.2843879,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
5,0,0,0,0,0,-0.0659133183593891,-0.150081269295304,-0.122122559159312,0.46158065673016,0.507738722403177,0,0,0,0,0,0,101397315.075935,92572672.878888,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
6,0,0,0,0,0,-0.0751980743994662,-0.161098482343966,-0.130340410216791,0.46158065673016,0.507738722403177,0,0,0,0,0,-9.65730818975528e-25,99343296.4617669,91143713.6651718,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
7,0,0,0,0,0,-0.0831396452303528,-0.170012322714177,-0.137657917565981,0.46158065673016,0.507738722403177,0,0,0,0,0,-1.33286434343248e-19,97840726.8073725,90155680.0773654,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
8,0,0,0,0,0,-0.0898796661319094,-0.177399716002539,-0.144413331375087,0.46158065673016,0.507738722403177,0,0,0,0,0,-1.18520737848038e-15,96676805.6151718,89424973.4805992,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
9,0,0,0,0,0,-0.0955904213212841,-0.183666102314036,-0.15084020102848,0.46158065673016,0.507738722403177,0,0,0,0,0,-5.77566511237729e-13,95734124.0584106,88853075.446594,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
10,0,0,0,0,0,-0.100440176671057,-0.189094263401707,-0.157105380498994,0.46158065673016,0.507738722403177,0,0,0,0,0,-2.98658288528878e-10,94942931.556839,88383525.1723467,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
