time_yrs,qwS-I1,qwS-I2,qwS-M1,qwS-M2,qwS-M3,qwS-P1,qwS-P2,qwS-P3,qgS-I1,qgS-I2,qgS-M1,qgS-M2,qgS-M3,qgS-P1,qgS-P2,qgS-P3,BHP-I1,BHP-I2,BHP-M1,BHP-M2,BHP-M3,BHP-P1,BHP-P2,BHP-P3
1,0,0,0,0,0,-0.109987019355563,-0.180782515072734,-0.191289104940368,0.46158065673016,0.507738722403177,0,0,0,0,0,0,202994128.471412,127075108.02771,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
2,0,0,0,0,0,-0.14547095285808,-0.203440217334002,-0.190362023258754,0.46158065673016,0.507738722403177,0,0,0,0,0,0,230031835.814404,194147517.525608,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
3,0,0,0,0,0,-0.172078694059603,-0.230345802747854,-0.201846708199471,0.46158065673016,0.507738722403177,0,0,0,0,0,0,187991405.902733,173359156.109173,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
4,0,0,0,0,0,-0.189614332972924,-0.247502814175615,-0.205126545906353,0.46158065673016,0.507738722403177,0,0,0,0,0,0,163306731.666935,150225477.198097,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
5,0,0,0,0,0,-0.198439597265653,-0.252785993369035,-0.203368577643217,0.46158065673016,0.507738722403177,0,0,0,0,0,0,148753851.856164,135588143.819503,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
6,0,0,0,0,0,-0.201737914858404,-0.251917543148426,-0.202466521800933,0.46158065673016,0.507738722403177,0,0,0,0,0,0,139333147.592826,126039622.732115,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
7,0,0,0,0,0,-0.203395719896488,-0.252258980782245,-0.204676805935401,0.46158065673016,0.507738722403177,0,0,0,0,0,0,132746022.41403,119430471.365542,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
8,0,0,0,0,0,-0.205731044684923,-0.256399373794584,-0.207497880595091,0.46158065673016,0.507738722403177,0,0,0,0,0,0,127830819.081618,114608219.222754,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
9,0,0,0,0,0,-0.208887496727976,-0.262328510137525,-0.207943732984871,0.46158065673016,0.507738722403177,0,0,0,0,0,0,123973300.202182,110913125.574474,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
10,0,0,0,0,0,-0.2120152657076,-0.267478125722659,-0.20527850873258,0.46158065673016,0.507738722403177,0,0,0,0,0,0,120840510.661787,107958712.01158,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
11,0,0,0,0,0,-0.214364646820323,-0.270441022261817,-0.200734698745725,0.46158065673016,0.507738722403177,0,0,0,0,0,0,118242003.712769,105517544.817872,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
12,0,0,0,0,0,-0.21557266652156,-0.271119833155235,-0.196187143802494,0.46158065673016,0.507738722403177,0,0,0,0,0,0,116058518.788013,103452688.672478,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
13,0,0,0,0,0,-0.21571776455517,-0.270383610496421,-0.193133833251466,0.46158065673016,0.507738722403177,0,0,0,0,0,0,114206326.276675,101677976.618969,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
14,0,0,0,0,0,-0.215168075471827,-0.269318495909837,-0.192350571507272,0.46158065673016,0.507738722403177,0,0,0,0,0,0,112620384.886382,100135341.898824,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
15,0,0,0,0,0,-0.214302052400693,-0.268541297899393,-0.193816319752677,0.46158065673016,0.507738722403177,0,0,0,0,0,0,111247018.933257,98783662.8006284,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
16,0,0,0,0,0,-0.213337757065546,-0.268137732747271,-0.196322369175343,0.46158065673016,0.507738722403177,0,0,0,0,0,0,110042015.964375,97592819.8589128,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
17,0,0,0,0,0,-0.212351442135202,-0.268071138179869,-0.198125517908378,0.46158065673016,0.507738722403177,0,0,0,0,0,0,108970639.753251,96539508.8035576,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
18,0,0,0,0,0,-0.211356348043791,-0.268253217992681,-0.198041528207557,0.46158065673016,0.507738722403177,0,0,0,0,0,0,108007407.644794,95604740.0451475,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
19,0,0,0,0,0,-0.210355574012371,-0.268521877478011,-0.195844669698997,0.46158065673016,0.507738722403177,0,0,0,0,0,0,107134588.17461,94772485.5472519,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
20,0,0,0,0,0,-0.209338666999451,-0.268601939117962,-0.192112319718378,0.46158065673016,0.507738722403177,0,0,0,0,0,0,106340102.226705,94028966.1252538,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
21,0,0,0,0,0,-0.20827884500827,-0.268221674653318,-0.188314064297409,0.46158065673016,0.507738722403177,0,0,0,0,0,0,105615054.197664,93363213.6114247,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
22,0,0,0,0,0,-0.207137081464333,-0.267213363720471,-0.185977226493077,0.46158065673016,0.507738722403177,0,0,0,0,0,0,104952038.795813,92766028.6766483,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
23,0,0,0,0,0,-0.205899073024782,-0.265648853034312,-0.185809541390131,0.46158065673016,0.507738722403177,0,0,0,0,0,0,104344342.927265,92229163.3003159,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
24,0,0,0,0,0,-0.204619280753575,-0.263941901341269,-0.187400843445346,0.46158065673016,0.507738722403177,0,0,0,0,0,0,103785472.933677,91745667.6717453,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
25,0,0,0,0,0,-0.203407976451803,-0.262660670225995,-0.189753969094354,0.46158065673016,0.507738722403177,0,0,0,0,0,0,103269449.576842,91308957.0881986,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
26,0,0,0,0,0,-0.202366763025819,-0.262213488424567,-0.19183001645192,0.46158065673016,0.507738722403177,0,0,0,0,0,0,102791303.648081,90912522.1472844,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
27,0,0,0,0,0,-0.201529867328562,-0.26264496909255,-0.19295770603154,0.46158065673016,0.507738722403177,0,0,0,0,0,0,102347266.744344,90549919.0223683,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
28,0,0,0,0,0,-0.20084434831708,-0.263685455458676,-0.19289199553268,0.46158065673016,0.507738722403177,0,0,0,0,0,0,101934774.784979,90215247.75798,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
29,0,0,0,0,0,-0.200197493564099,-0.264902601828338,-0.191765758317407,0.46158065673016,0.507738722403177,0,0,0,0,0,0,101552122.287218,89903732.5535675,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
30,0,0,0,0,0,-0.199501257595621,-0.265938016333322,-0.189967034320818,0.46158065673016,0.507738722403177,0,0,0,0,0,0,101197749.659885,89611987.9445909,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
31,0,0,0,0,0,-0.198695928411746,-0.266408771075011,-0.188007127347251,0.46158065673016,0.507738722403177,0,0,0,0,0,0,100869969.089462,89337842.0371155,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
32,0,0,0,0,0,-0.197761593115234,-0.266117208413781,-0.186281267408406,0.46158065673016,0.507738722403177,0,0,0,0,0,0,100566781.436483,89080259.5639967,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
33,0,0,0,0,0,-0.196721718717416,-0.265087325447989,-0.185008905615972,0.46158065673016,0.507738722403177,0,0,0,0,0,0,100285872.702303,88839053.5367119,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
34,0,0,0,0,0,-0.195636005517693,-0.26353559061353,-0.184301418200923,0.46158065673016,0.507738722403177,0,0,0,0,0,0,100024749.217624,88614430.9847576,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
35,0,0,0,0,0,-0.194593751953587,-0.261881021335796,-0.184251363724494,0.46158065673016,0.507738722403177,0,0,0,0,0,0,99780913.5541705,88406609.9909527,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
36,0,0,0,0,0,-0.19369487631777,-0.260610149384804,-0.184791884754275,0.46158065673016,0.507738722403177,0,0,0,0,0,0,99552015.0232936,88215466.2472883,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
37,0,0,0,0,0,-0.193019985547558,-0.260071428779733,-0.185807928865705,0.46158065673016,0.507738722403177,0,0,0,0,0,0,99335969.4624717,88040332.0236317,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
38,0,0,0,0,0,-0.192605637123783,-0.260334592697685,-0.187026739830533,0.46158065673016,0.507738722403177,0,0,0,0,0,0,99131029.7782334,87880010.0475637,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
39,0,0,0,0,0,-0.192440226610817,-0.261206525955833,-0.188146452373607,0.46158065673016,0.507738722403177,0,0,0,0,0,0,98935807.2507861,87732953.5367175,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
40,0,0,0,0,0,-0.192480142423381,-0.262359987805342,-0.188958626823949,0.46158065673016,0.507738722403177,0,0,0,0,0,0,98749230.0362846,87597580.5915571,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
41,0,0,0,0,0,-0.192672153197625,-0.263462936270911,-0.189398684646611,0.46158065673016,0.507738722403177,0,0,0,0,0,0,98570497.4326164,87472430.9107277,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
42,0,0,0,0,0,-0.192967915720221,-0.264245465982248,-0.189510389421669,0.46158065673016,0.507738722403177,0,0,0,0,0,0,98399013.9640085,87356269.2301257,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
43,0,0,0,0,0,-0.193327402230587,-0.264524681177785,-0.189374669845429,0.46158065673016,0.507738722403177,0,0,0,0,0,0,98234321.8442443,87248128.6359865,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
44,0,0,0,0,0,-0.193717892848132,-0.264234520675903,-0.189024225139778,0.46158065673016,0.507738722403177,0,0,0,0,0,0,98076053.2999949,87147299.4507433,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
45,0,0,0,0,0,-0.194115817643543,-0.263469441545843,-0.188630703648505,0.46158065673016,0.507738722403177,0,0,0,0,0,0,97923905.6598485,87053267.5947741,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
46,0,0,0,0,0,-0.194509695869066,-0.262481887980534,-0.188335969949675,0.46158065673016,0.507738722403177,0,0,0,0,0,0,97777631.1068266,86965610.2623264,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
47,0,0,0,0,0,-0.194895634702534,-0.261572576648894,-0.188207212056937,0.46158065673016,0.507738722403177,0,0,0,0,0,0,97637028.6125874,86883869.1217999,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
48,0,0,0,0,0,-0.195265029009578,-0.260935375186479,-0.188204330303348,0.46158065673016,0.507738722403177,0,0,0,0,0,0,97501934.3504634,86807448.1680644,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
49,0,0,0,0,0,-0.195598256201275,-0.260592928753705,-0.18823831779169,0.46158065673016,0.507738722403177,0,0,0,0,0,-7.34900544593401e-29,97372209.9864944,86735741.4489602,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
50,0,0,0,0,0,-0.195862673811116,-0.260469680501607,-0.188270980728844,0.46158065673016,0.507738722403177,0,0,0,0,0,-1.44747081423482e-25,97247731.884981,86668108.0993771,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
