time_yrs,qwS-I1,qwS-I2,qwS-M1,qwS-M2,qwS-M3,qwS-P1,qwS-P2,qwS-P3,qgS-I1,qgS-I2,qgS-M1,qgS-M2,qgS-M3,qgS-P1,qgS-P2,qgS-P3,BHP-I1,BHP-I2,BHP-M1,BHP-M2,BHP-M3,BHP-P1,BHP-P2,BHP-P3
1,0,0,0,0,0,-0.0239098729677953,-0.178114837541337,-0.123436647756431,0.46158065673016,0.507738722403177,0,0,0,0,0,0,205054568.37218,138641075.056961,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
2,0,0,0,0,0,-0.037220210477326,-0.209937619012784,-0.135120080308468,0.46158065673016,0.507738722403177,0,0,0,0,0,0,214834355.509637,186247145.943093,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
3,0,0,0,0,0,-0.0482726374507632,-0.244702200559984,-0.150079890472334,0.46158065673016,0.507738722403177,0,0,0,0,0,0,173399198.892066,163053577.84318,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
4,0,0,0,0,0,-0.0569759262073371,-0.270014428693744,-0.159184725957756,0.46158065673016,0.507738722403177,0,0,0,0,0,0,149921279.356592,140317553.695027,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
5,0,0,0,0,0,-0.063283352028579,-0.283835331270255,-0.163028592981895,0.46158065673016,0.507738722403177,0,0,0,0,0,0,136493576.337495,126324011.972903,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
6,0,0,0,0,0,-0.0676789072651931,-0.290543510365225,-0.164889614751602,0.46158065673016,0.507738722403177,0,0,0,0,0,0,128015087.896359,117450930.41701,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
7,0,0,0,0,0,-0.0708663208525858,-0.29608018413365,-0.167512416754211,0.46158065673016,0.507738722403177,0,0,0,0,0,0,122190818.42303,111458639.789584,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
8,0,0,0,0,0,-0.0734226239328021,-0.303362887978688,-0.171123136342581,0.46158065673016,0.507738722403177,0,0,0,0,0,0,117897688.913056,107163730.730915,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
9,0,0,0,0,0,-0.0756288563491356,-0.311497770074674,-0.174320465982065,0.46158065673016,0.507738722403177,0,0,0,0,0,0,114558154.379913,103918084.229304,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
10,0,0,0,0,0,-0.0775458054138718,-0.318629671034129,-0.175958853197204,0.46158065673016,0.507738722403177,0,0,0,0,0,0,111865372.19491,101357911.537916,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
11,0,0,0,0,0,-0.0791573474450092,-0.323705396084776,-0.175762656441352,0.46158065673016,0.507738722403177,0,0,0,0,0,0,109646459.507966,99273232.5521021,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
12,0,0,0,0,0,-0.0804583370962455,-0.326689335985226,-0.174109133541123,0.46158065673016,0.507738722403177,0,0,0,0,0,0,107794037.683679,97536174.5127153,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
13,0,0,0,0,0,-0.0814870733379335,-0.328280092946791,-0.17187898924636,0.46158065673016,0.507738722403177,0,0,0,0,0,0,106234318.54916,96061348.2429705,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
14,0,0,0,0,0,-0.0823025809330604,-0.329416597867977,-0.170290429830936,0.46158065673016,0.507738722403177,0,0,0,0,0,0,104909970.987534,94788546.2646141,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
15,0,0,0,0,0,-0.082960039095383,-0.330709563730008,-0.170352778522244,0.46158065673016,0.507738722403177,0,0,0,0,0,0,103774000.788553,93673307.5684994,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
16,0,0,0,0,0,-0.0834822361449601,-0.332207246246016,-0.172084802514263,0.46158065673016,0.507738722403177,0,0,0,0,0,0,102787315.017906,92683686.2960118,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
17,0,0,0,0,0,-0.0838921149958236,-0.333701453539831,-0.174562471689026,0.46158065673016,0.507738722403177,0,0,0,0,0,0,101918492.821258,91797722.7502068,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
18,0,0,0,0,0,-0.0842077143802385,-0.334998420134131,-0.176757168125992,0.46158065673016,0.507738722403177,0,0,0,0,0,0,101143348.708186,91000645.2646825,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
19,0,0,0,0,0,-0.0844440309153494,-0.335891902428975,-0.178037452867998,0.46158065673016,0.507738722403177,0,0,0,0,0,0,100443813.097874,90282400.8744646,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
20,0,0,0,0,0,-0.0846138979755399,-0.336171102323825,-0.178188728433576,0.46158065673016,0.507738722403177,0,0,0,0,0,0,99806669.0904528,89635788.3620808,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
