time_yrs,qwS-I1,qwS-I2,qwS-M1,qwS-M2,qwS-M3,qwS-P1,qwS-P2,qwS-P3,qgS-I1,qgS-I2,qgS-M1,qgS-M2,qgS-M3,qgS-P1,qgS-P2,qgS-P3,BHP-I1,BHP-I2,BHP-M1,BHP-M2,BHP-M3,BHP-P1,BHP-P2,BHP-P3
1,0,0,0,0,0,-0.0740835631009287,-0.210816201422143,-0.193823925040041,0.46158065673016,0.507738722403177,0,0,0,0,0,0,109727708.156793,88587568.5575306,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
2,0,0,0,0,0,-0.107987288365164,-0.252593896527396,-0.201991762987126,0.46158065673016,0.507738722403177,0,0,0,0,0,0,92171588.5495323,83155771.0757485,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
3,0,0,0,0,0,-0.129221970556744,-0.278595973610883,-0.212126922406322,0.46158065673016,0.507738722403177,0,0,0,0,0,0,81218490.2870968,74616067.5964897,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
4,0,0,0,0,0,-0.142551066247667,-0.294247792808066,-0.219755430037592,0.46158065673016,0.507738722403177,0,0,0,0,0,0,75609521.0211519,69741485.6070311,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
5,0,0,0,0,0,-0.151284445713027,-0.305637249290168,-0.225790357548553,0.46158065673016,0.507738722403177,0,0,0,0,0,0,72251843.3466723,66813144.6657115,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
6,0,0,0,0,0,-0.157241525916546,-0.314248952176535,-0.229431312624169,0.46158065673016,0.507738722403177,0,0,0,0,0,0,70001675.9924255,64861085.4907135,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
7,0,0,0,0,0,-0.161359436079921,-0.320278712567291,-0.231168866617769,0.46158065673016,0.507738722403177,0,0,0,0,0,0,68389094.9272009,63456714.0143076,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
8,0,0,0,0,0,-0.164216844620587,-0.324500686930676,-0.232988307786216,0.46158065673016,0.507738722403177,0,0,0,0,0,0,67173604.8482225,62389464.5747842,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
9,0,0,0,0,0,-0.166221827123802,-0.327808598780564,-0.235917709093512,0.46158065673016,0.507738722403177,0,0,0,0,0,0,66213560.8120851,61540522.0916078,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
10,0,0,0,0,0,-0.167657376162777,-0.330569613923919,-0.239001818838326,0.46158065673016,0.507738722403177,0,0,0,0,0,0,65426003.4305501,60841424.7514041,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
